# gate	bias	idc	gx	gy	gr
-1.167	5e-05	1.500626688e-10	1.161690909e-06	-2.878372727e-08	1.162047448e-06
-1.166	5e-05	1.491427929e-10	1.156690909e-06	-2.524645455e-08	1.156966397e-06
-1.165	5e-05	1.579484659e-10	1.155654545e-06	-2.559327273e-08	1.155937907e-06
-1.164	5e-05	1.52002075e-10	1.159054545e-06	-2.483036364e-08	1.159320485e-06
-1.163	5e-05	1.571068872e-10	1.1628e-06	-2.163990909e-08	1.163001344e-06
-1.162	5e-05	1.560818333e-10	1.164945455e-06	-1.754763636e-08	1.165077608e-06
-1.161	5e-05	1.42383297e-10	1.161963636e-06	-1.172163636e-08	1.162022758e-06
-1.16	5e-05	1.497528281e-10	1.158081818e-06	-7.074563636e-09	1.158103427e-06
-1.159	5e-05	1.484826834e-10	1.154336364e-06	-5.895472727e-09	1.154351418e-06
-1.158	5e-05	1.572753991e-10	1.152118182e-06	-4.716390909e-09	1.152127835e-06
-1.157	5e-05	1.462020203e-10	1.151009091e-06	-2.080754545e-09	1.151010972e-06
-1.156	5e-05	1.519670821e-10	1.147818182e-06	-2.150109091e-09	1.147820196e-06
-1.155	5e-05	1.449489702e-10	1.147327273e-06	-2.8437e-09	1.147330797e-06
-1.154	5e-05	1.468939885e-10	1.145109091e-06	-2.358190909e-09	1.145111519e-06
-1.153	5e-05	1.464455846e-10	1.1422e-06	-4.577672727e-09	1.142209173e-06
-1.152	5e-05	1.52895048e-10	1.146363636e-06	-1.068118182e-08	1.146413396e-06
-1.151	5e-05	1.477884365e-10	1.155236364e-06	-1.810263636e-08	1.15537819e-06
-1.15	5e-05	1.470432524e-10	1.162454545e-06	-2.212536364e-08	1.162665086e-06
-1.149	5e-05	1.585355511e-10	1.168836364e-06	-2.288836364e-08	1.169060444e-06
-1.148	5e-05	1.558515435e-10	1.179654545e-06	-2.316572727e-08	1.179881985e-06
-1.147	5e-05	1.548102873e-10	1.185754545e-06	-2.469163636e-08	1.186011602e-06
-1.146	5e-05	1.533901855e-10	1.187354545e-06	-2.760463636e-08	1.18767539e-06
-1.145	5e-05	1.613122292e-10	1.190263636e-06	-3.280654545e-08	1.190715664e-06
-1.144	5e-05	1.59631734e-10	1.192272727e-06	-3.953436364e-08	1.192928004e-06
-1.143	5e-05	1.61876733e-10	1.193663636e-06	-4.556854545e-08	1.194533118e-06
-1.142	5e-05	1.57816444e-10	1.196509091e-06	-4.938327273e-08	1.19752775e-06
-1.141	5e-05	1.613901282e-10	1.196363636e-06	-5.063172727e-08	1.197434559e-06
-1.14	5e-05	1.607120244e-10	1.196781818e-06	-4.903645455e-08	1.197785997e-06
